RxCUI,TTY,RxNorm Description,Related BN,Related SCDC,Related DF
731328,SBD,0.5 ML PEGINTERFERON ALFA-2A 0.36 MG/ML PREFILLED SYRINGE [PEGASYS],PEGASYS,PEGINTERFERON ALFA-2A 0.36 MG/ML,PREFILLED SYRINGE
1649593,SBD,0.5 ML PEGINTERFERON BETA-1A 0.25 MG/ML AUTO-INJECTOR [PLEGRIDY],PLEGRIDY,PEGINTERFERON BETA-1A 0.25 MG/ML,AUTO-INJECTOR
1546189,SBD,0.5 ML PEGINTERFERON BETA-1A 0.25 MG/ML PREFILLED SYRINGE [PLEGRIDY],PLEGRIDY,PEGINTERFERON BETA-1A 0.25 MG/ML,PREFILLED SYRINGE
2046380,SBD,1 ML PEGVALIASE-PQPZ 20 MG/ML PREFILLED SYRINGE [PALYNZIQ],PALYNZIQ,PEGVALIASE-PQPZ 20 MG/ML,PREFILLED SYRINGE
2046370,SBD,0.5 ML PEGVALIASE-PQPZ 20 MG/ML PREFILLED SYRINGE [PALYNZIQ],PALYNZIQ,PEGVALIASE-PQPZ 20 MG/ML,PREFILLED SYRINGE
2046376,SBD,0.5 ML PEGVALIASE-PQPZ 5 MG/ML PREFILLED SYRINGE [PALYNZIQ],PALYNZIQ,PEGVALIASE-PQPZ 5 MG/ML,PREFILLED SYRINGE
404457,SBD,PEGVISOMANT 10 MG INJECTION [SOMAVERT],SOMAVERT,PEGVISOMANT 10 MG,INJECTION
404458,SBD,PEGVISOMANT 15 MG INJECTION [SOMAVERT],SOMAVERT,PEGVISOMANT 15 MG,INJECTION
404459,SBD,PEGVISOMANT 20 MG INJECTION [SOMAVERT],SOMAVERT,PEGVISOMANT 20 MG,INJECTION
1549456,SBD,PEGVISOMANT 25 MG INJECTION [SOMAVERT],SOMAVERT,PEGVISOMANT 25 MG,INJECTION
1549454,SBD,PEGVISOMANT 30 MG INJECTION [SOMAVERT],SOMAVERT,PEGVISOMANT 30 MG,INJECTION
2738665,SBD,0.4 ML PEGZILARGINASE-NBLN 5 MG/ML INJECTION [LOARGYS],LOARGYS,PEGZILARGINASE-NBLN 5 MG/ML,INJECTION
2359340,SBD,PEMIGATINIB 13.5 MG ORAL TABLET [PEMAZYRE],PEMAZYRE,PEMIGATINIB 13.5 MG,ORAL TABLET
2359344,SBD,PEMIGATINIB 4.5 MG ORAL TABLET [PEMAZYRE],PEMAZYRE,PEMIGATINIB 4.5 MG,ORAL TABLET
2359348,SBD,PEMIGATINIB 9 MG ORAL TABLET [PEMAZYRE],PEMAZYRE,PEMIGATINIB 9 MG,ORAL TABLET
312255,SCD,PENCICLOVIR 10 MG/ML TOPICAL CREAM,,PENCICLOVIR 10 MG/ML,TOPICAL CREAM
211343,SBD,PENCICLOVIR 10 MG/ML TOPICAL CREAM [DENAVIR],DENAVIR,PENCICLOVIR 10 MG/ML,TOPICAL CREAM
198070,SCD,PENICILLAMINE 250 MG ORAL CAPSULE,,PENICILLAMINE 250 MG,ORAL CAPSULE
